Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
11 Tips for .NET 6,"Microsoft .NET is equipped with so many libraries and APIs that sometimes it’s hard to keep track of it all. Even if you’ve been a .NET developer for years, you probably still encounter features that you didn’t know were there. Now’s the time to get your skills up to speed in this approachable course with instructor Walt Ritscher, exploring eleven key coding tips to boost your know-how in .NET 6.<br><br>Ramp up your developer skills today to improve your performance or land a new job. Learn the most essential, easy-to-use tricks to get the most out of the .NET experience, including single file deployment, SelectMany, DateOnly, Humanizer, ReadOnlyCollection, .Combine, fake test data with Bogus, adding version endpoints, counting Unicode string characters, ToLookup, and Zip files. Upon completing this course, you’ll be ready to tackle your next .NET coding challenge more efficiently, quickly, and with ease.",Course,2023-11-03 16:19 UTC,N/A,false,N/A,
Introduction to Data Science (2019),"The world of data science is reshaping every business. There is no better time to learn it than now. In this Madecraft course, Python trainer and data scientist Lavanya Vijayan shares what data science is and how it differs from other information-focused disciplines. She then dives into the workflow—the life cycle of data science—and introduces the data scientist’s toolset, from programming languages and specialized libraries to productivity tools like Jupyter Notebooks. In the following chapters, Lavanya focuses on practical techniques such as exploratory data analysis, data cleaning, and data visualization. Finally, learn about sampling, testing, and classification. By the end of the course, you will have the knowledge you need to perform basic data analysis and reporting, and unlock opportunities to accelerate your career in this exciting field.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-08-09 19:08 UTC,N/A,false,N/A,
Java Practice: Collections,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. Many of the apps you know and love were likely written in Java! In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your knowledge of Java collections and improve your programming problem-solving skills.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-03-04 21:04 UTC,N/A,false,N/A,
Software Design: Modeling with UML,"Modeling with the Unified Modeling Language (UML)—a visual design language for object-oriented programming—is a critical skill for all team members in a software development project. These models are a cost-effective way for collaborators to analyze, communicate, and document their product's characteristics. In this course, learn how to use UML diagrams to create important artifacts at each stage of the software development life cycle. Instructor Neelam Dwivedi shares best practices and tools as she goes over 13 different types of UML models, explaining what you need to know to develop static and dynamic models of software systems. Plus, review options for using GenAI tools to generate UML diagrams.",Course,2022-06-09 16:26 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007915,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007915,Course,2020-03-06 14:35 UTC,N/A,false,N/A,
Avoiding Implicit Bugs in C++,"<p>C++ is an extremely powerful, portable, and cost-effective programming language. But it's also rife with implicit and counter-intuitive semantics, which can introduce bugs into your program. In this course, join instructor Shachar Shemesh to learn the fundamental skills you need to know as a developer to avoid implicit bugs in C++.</p><p>Explore real-world bug-causing behaviors such as automatically generated copy constructors and copy assignment operators, cast chains with both built-in and user-defined casts, undefined behaviors, exception semantics, and destructors. Along the way, Shachar raises your overall awareness of best practices for identifying, avoiding, strategizing, controlling, and protecting your work from implicit bugs.</p>",Course,2023-12-03 20:55 UTC,N/A,false,N/A,
COBOL Essential Training,"Since its inception over 60 years ago, COBOL code has worked its way into everything from ATM machines to essential government operations. While most modern developers aren't spinning up new programs using this legacy programming language, organizations are often willing to pay a premium for candidates who can review and update existing COBOL code. This course was designed to help new and experienced programmers alike add COBOL (or add COBOL back) to their skill set. Instructor Peggy Fisher shows how to get a COBOL development environment up and running and how to start programming. She reviews the language's data types and constants, control structures, file organization and processing methods, tables, and strings. Challenges issued along the way will help you practice what you've learned.",Course,2022-08-23 22:24 UTC,N/A,false,N/A,
Training Neural Networks in C++ (2021),"Learn about the purpose, structure, and training process of neural networks to improve your machine learning skills. In this project-based course, instructor Eduardo Corpeño teaches you how to create an intelligent system with a neural network from scratch in C++, as well as how to choose the right neural network architecture and training method for each problem. Eduardo starts by explaining the difference between a neural network and other programming tools. He goes over why this course uses C++ and how to add different types of neural networks to your toolbox. The inspiration for artificial neural networks is the brain, and Eduardo relates parts of a biological neuron to C++ elements, then shows how to use activation functions and perceptrons in building neuron models. Eduardo covers the steps you will need to build and train your network. He explains segment display recognition, then guides you through designing and training your own SDR neural network.",Course,2021-07-05 10:05 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2023-06-26 18:57 UTC,N/A,false,N/A,
C++: Advanced Topics (2018),"Want to deepen your understanding of C++? In this course, explore some of the more complex aspects of this core programming language, from smart pointers to move semantics. Instructor Bill Weinman begins by diving deeper into the subject of classes and objects, including class inheritance. Next, Bill goes over smart pointers, which provide the functionality of a pointer with managed memory allocation. He also covers move semantics, including the copy-and-swap idiom; lambda functions; working with a unit test library; and creating a custom string library. As he wraps up the course, Bill shares practical applications of these concepts, helping you grasp how to leverage your new skills in your own C++ projects.",Course,2021-06-10 21:49 UTC,N/A,false,N/A,
